113226,323
115470,393
52707,396
48218,286
19213,391
118177,420
109189,528
30641,424
48281,392
80392,327
44922,73
93148,140
117922,141
121283,391
96179,352
46241,181
117986,184
83493,392
48879,322
85616,114
94528,327
91549,528
83430,325
50987,494
117782,354
80990,184
60179,212
93533,462
47358,358
96440,458
57991,459
36856,328
25492,354
5472,422
123731,357
99878,459
99748,393
91622,390
102986,390
97971,208
95925,144
48676,493
113555,391
132058,246
82568,460
132191,214
88320,324
49805,357
128818,325
23376,459
96710,356
115934,352
72202,287
78550,111
91158,426
94201,390
117986,352
97898,460
101734,356
96778,393
50857,532
83435,328
79806,182
129413,392
125385,324
45843,356
94792,464
80990,287
95391,324
99878,493
85684,184
28081,78
94402,287
94532,355
6005,396
93607,354
83367,357
129680,396
44594,182
60312,352
12223,178
23652,183
97971,328
18433,180
82444,390
131333,325
43133,424
31968,463
130474,322
122215,357
129352,286
96710,460
95524,358
76562,423
44995,74
99623,290
93543,352
60380,325
46241,355
23322,209
64550,72
91633,252
92027,325
77959,212
118713,458
138008,355
67252,325
36591,527
48233,73
83767,391
58597,328
71281,395
47696,390
96326,142
74913,390
109004,352
112043,356
99760,178
45721,179
103849,393
117456,464
82649,211
90572,353
16785,184
75972,426
133853,179
108545,352
50145,284
93482,354
92170,73
82184,390
11766,146
65741,115
91633,284
40761,395
45784,328
65614,8
93543,464
29924,458
116214,144
118714,463
126720,72
12152,494
23652,353
52131,178
44922,463
94814,74
103265,249
100428,113
112318,182
25765,392
113903,182
98645,112
100226,250
95132,463
135498,494
111252,423
82053,358
24314,358
82649,325
94413,180
113640,111
12426,250
78550,425
101077,460
94999,460
117866,286
74526,325
42155,290
134650,178
30664,142
36074,390
8071,115
118124,464
111979,491
91503,390
86285,356
59594,390
76639,325
96920,352
127570,488
91301,460
41900,43
76899,460
94411,327
94418,110
100226,286
94351,142
82514,494
93629,75
51206,353
15206,180
105709,395
94417,211
83378,423
116483,209
94413,356
64879,460
128238,328
76910,183
50156,146
85368,146
95598,460
30604,73
28081,458
91314,145
128772,143
52262,390
101014,492
132075,146
101024,179
102673,353
28552,213
100953,421
65806,426
83854,48
101094,143
116677,396
118126,532
112318,354
135041,460
89071,140
94546,390
94488,142
93497,144
115430,142
121241,210
48245,74
113903,354
46254,352
94211,488
94355,143
135711,112
46194,146
20825,184
25240,532
73931,528
81868,250
122165,325
116483,353
93096,328
116483,327
94351,355
94351,356
100826,288
94411,493
50813,391
97724,213
94417,325
94350,355
86356,357
58348,325
76785,183
118068,423
73746,184
65812,357
82600,145
117937,393
82588,529
46719,354
129631,355
12365,392
93560,325
100964,178
119060,357
101024,357
126720,464
92964,356
82600,113
70899,357
113640,425
81868,286
94351,394
59139,394
94355,354
78433,356
47260,44
93496,355
100436,252
42030,393
9985,494
49827,352
47388,184
96210,184
112594,182
99850,7
45868,178
46918,393
98525,115
94356,288
92170,463
93567,184
92707,213
126591,422
129034,461
21219,461
53271,144
112666,78
50429,179
94300,74
94818,394
111401,391
82005,290
125936,358
41381,72
89071,396
94422,396
122565,391
137959,289
82336,285
94488,394
104866,182
89736,212
100436,284
47923,78
90856,322
96139,394
84116,356
96075,325
104925,391
94094,286
130830,142
67343,144
129704,357
118016,181
119936,48
89536,355
76059,355
112459,420
94819,420
46986,464
45610,111
99852,74
106115,458
103740,355
89736,324
127390,393
96535,494
82600,356
93629,461
65614,528
90925,322
37742,353
93497,424
50301,143
119138,179
92707,323
73746,352
47981,391
100964,358
76785,353
99844,287
127455,393
93496,460
93496,461
29952,181
98590,328
46206,142
83787,459
65226,353
90073,179
47388,352
47521,325
120058,423
118673,352
100240,391
128394,48
89075,391
98595,179
61999,78
96210,352
94625,327
92511,326
63703,490
52157,5
92113,395
103078,426
119141,146
